Price,Rating,Flavour,Venue
8,10,Pepper Steak,Trisha's Pies Kilbirnie
8,8,Pepper Steak,Trisha's Pies Kilbirnie
7.5,9,Steak,Shoreline Cafe Petone
7.5,8.75,Steak,Shoreline Cafe Petone
7.5,5,Steak,Shoreline Cafe Petone
7,9.5,Steak and Cheese,Alyx’s Sweet Bakery Newlands
7,9,Steak and Cheese,Alyx’s Sweet Bakery Newlands
7,10,Steak and Cheese,Fix Federation
8,10,Steak and Cheese,Fix Federation
8,9.5,Steak and Cheese,Fix Federation
7.5,9,Steak and Cheese,Fix Federation
8,10,Steak and Cheese,Fix Federation
8,10,Steak and Cheese,Fix Federation
7.5,10,Steak and Cheese,Jo's Pies
7,8.5,Steak and Cheese,Jo's Pies
9,6.9,Steak and Cheese,Olde Beach Bakery
8,10,Steak and Cheese,Olde Beach Bakery
8,8,Steak and Cheese,Trisha's Pies Kilbirnie
8,9,Steak and Cheese,Trisha's Pies Kilbirnie
8,8,Steak and Cheese,Trisha's Pies Kilbirnie
6.5,10,Steak and Cheese,Urban Eatery
6.5,8,Steak and Cheese,Urban Eatery
6.5,10,"Steak, Bacon and Cheese",Trentham Pie Shop
6.5,10,"Steak, Bacon and Cheese",Trentham Pie Shop
8,9.5,"Steak, Cheese and Jalapeno",Fix Federation
8,8.5,"Steak, Cheese and Jalapeno",Fix Federation
8,6,"Steak, Cheese and Jalapeno",Fix Federation
